Symbol,Name,Sector,industry
FAX,Aberdeen Asia-Pacific Income Fund Inc,n/a,n/a
IAF,Aberdeen Australia Equity Fund Inc,n/a,n/a
CH,"Aberdeen Chile Fund, Inc.",n/a,n/a
ETF,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,n/a,n/a
FCO,"Aberdeen Global Income Fund, Inc.",n/a,n/a
IF,"Aberdeen Indonesia Fund, Inc.",n/a,n/a
ISL,"Aberdeen Israel Fund, Inc.",n/a,n/a
ACU,Acme United Corporation.,Capital Goods,Industrial Machinery/Components
AE,"Adams Resources & Energy, Inc.",Energy,Oil Refining/Marketing
ADK,Adcare Health Systems Inc,Health Care,Hospital/Nursing Management
ADK^A,Adcare Health Systems Inc,n/a,n/a
API,"Advanced Photonix, Inc.",Technology,Semiconductors
ACY,AeroCentury Corp.,Technology,Diversified Commercial Services
AIRI,"Air Industries Group, Inc.",Capital Goods,Military/Government/Technical
AXX,Alderon Iron Ore Corp.,Basic Industries,Precious Metals
AXU,Alexco Resource Corp,Basic Industries,Precious Metals
ANV,Allied Nevada Gold Corp.,Basic Industries,Precious Metals
AAU,"Almaden Minerals, Ltd.",Basic Industries,Precious Metals
APT,"Alpha Pro Tech, Ltd.",Health Care,Industrial Specialties
ALTV,Alteva (D/B/A),Public Utilities,Telecommunications Equipment
DIT,AMCON Distributing Company,Consumer Non-Durables,Food Distributors
APP,American Apparel Inc,Finance,Business Services
ADGE,American DG Energy Inc.,Energy,Electric Utilities: Central
ALN,American Lorain Corporation,Consumer Non-Durables,Packaged Foods
AMS,American Shared Hospital Services,Health Care,Medical Specialities
AQQ,"American Spectrum Realty, Inc.",Consumer Services,Real Estate Investment Trusts
AMPE,"Ampio Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AXN,"Aoxing Pharmaceutical Company, Inc.",Health Care,Major Pharmaceuticals
AGX,"Argan, Inc.",Basic Industries,Engineering & Construction
AMCO,"Armco Metals Holdings, Inc.",n/a,n/a
ARR/WS,"ARMOUR Residential REIT, Inc.",n/a,n/a
HRT,Arrhythmia Research Technology Inc.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AKG,Asanko Gold Inc.,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
ATL,Atlatsa Resources Corporation,Basic Industries,Precious Metals
AZC,Augusta Resource Corporation,Basic Industries,Precious Metals
AWX,Avalon Holdings Corporation,Public Utilities,Environmental Services
AVL,"Avalon Rare Metals, Inc.",Basic Industries,Precious Metals
ASM,Avino Silver,Basic Industries,Precious Metals
BTG,B2Gold Corp,Basic Industries,Precious Metals
BONE,"Bacterin International Holdings, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BTN,"Ballantyne Strong, Inc",Miscellaneous,Industrial Machinery/Components
BKJ,"Bancorp of New Jersey, Inc",Finance,Major Banks
BCV,Bancroft Fund Limited,n/a,n/a
BAA,BANRO CORPORATION,Basic Industries,Precious Metals
BHB,"Bar Harbor Bankshares, Inc.",Finance,Major Banks
BRN,"Barnwell Industries, Inc.",Energy,Oil & Gas Production
BXE,Bellatrix Exploration Ltd,Energy,Oil & Gas Production
BIR^A,"Berkshire Income Realty, Inc.",n/a,n/a
BTX,"BioTime, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BMJ,Birks & Mayors Inc.,Consumer Services,Consumer Specialties
