Symbol,Name,Sector,industry
FLWS,"1-800 FLOWERS.COM, Inc.",Consumer Services,Other Specialty Stores
FCTY,"1st Century Bancshares, Inc",Finance,Major Banks
FCCY,1st Constitution Bancorp (NJ),Finance,Savings Institutions
SRCE,1st Source Corporation,Finance,Major Banks
FUBC,"1st United Bancorp, Inc. (FL)",Finance,Major Banks
VNET,"21Vianet Group, Inc.",Technology,"Computer Software: Programming, Data Processing"
JOBS,"51job, Inc.",Technology,Diversified Commercial Services
EGHT,8x8 Inc,Public Utilities,Telecommunications Equipment
AVHI,"A V Homes, Inc.",Capital Goods,Homebuilding
SHLM,"A. Schulman, Inc.",Basic Industries,Major Chemicals
AAON,"AAON, Inc.",Capital Goods,Industrial Machinery/Components
ASTM,"Aastrom Biosciences, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABAX,"ABAXIS, Inc.",Capital Goods,Industrial Machinery/Components
ABMD,"ABIOMED, Inc.",Health Care,Medical/Dental Instruments
AXAS,Abraxas Petroleum Corporation,Energy,Oil & Gas Production
ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies
ACHC,"Acadia Healthcare Company, Inc.",Health Care,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
ACST,"Acasti Pharma, Inc.",Health Care,Major Pharmaceuticals
AXDX,"Accelerate Diagnostics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
ACCL,"Accelrys, Inc.",Technology,Computer Software: Prepackaged Software
ANCX,Access National Corporation,Finance,Savings Institutions
ARAY,Accuray Incorporated,Health Care,Medical/Dental Instruments
ACRX,"AcelRx Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ACET,Aceto Corporation,Consumer Durables,Specialty Chemicals
ACHN,"Achillion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ACIW,"ACI Worldwide, Inc.",Technology,Computer Software: Prepackaged Software
ACNB,ACNB Corporation,Finance,Major Banks
ACOR,"Acorda Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACFN,"Acorn Energy, Inc.",Consumer Services,Military/Government/Technical
ACTS,"Actions Semiconductor Co., Ltd.",Technology,Semiconductors
ACPW,"Active Power, Inc.",Public Utilities,Electric Utilities: Central
ATVI,"Activision Blizzard, Inc",Technology,Computer Software: Prepackaged Software
BIRT,Actuate Corporation,Technology,Computer Software: Prepackaged Software
ACUR,"Acura Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ACXM,Acxiom Corporation,Technology,EDP Services
ADUS,Addus HomeCare Corporation,Health Care,Medical/Nursing Services
AEY,"ADDvantage Technologies Group, Inc.",Consumer Services,Office Equipment/Supplies/Services
ADEP,"Adept Technology, Inc.",Technology,Industrial Machinery/Components
ADBE,Adobe Systems Incorporated,Technology,Computer Software: Prepackaged Software
ADTN,"ADTRAN, Inc.",Public Utilities,Telecommunications Equipment
